Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,Growth_source,ID,tip,an.pe
Achillea,atrata,0.2424,255.9402985,4.516675047,8.33690105,0.626667018,0.679190575,11930.28125,2.917031567,109.140625,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=54431&Num=zNb,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3120203,CO0017,NA,
Achillea,clusiana,0.263,256,5.35102432,10.04278119,1.798865924,0.733668363,11600.92188,2.81232685,91.40104167,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=41607&Num=HV6,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3120002,CO0021,NA,
Achillea,collina,0.143,251.8376511,8.508328676,12.56828879,4.049403448,0.871881799,12096.4201,3.239773512,70.16978777,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=31664&Num=2K1,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/7925124,CO0024,NA,
Achillea,millefolium,0.232,237.2694135,6.73584837,11.10610297,2.385541019,0.827917552,11178.11555,3.671803364,70.49702688,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0041,NA,
Achillea,ptarmica,0.31,200.4378236,6.15970245,9.867409999,2.367702392,0.812955251,9652.629138,3.7569817,70.51732364,SI,herb,Kew_SID,Goldberg et al. (2010),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0051,NA,
Aster,acuminatus,0.44,264.1694915,4.032335744,8.910845052,-0.853625905,0.777766526,12397.94861,3.377401385,88.43055556,SC,herb,Kew_SID,Goldberg et al. (2010),The North Carolina Extension Gardener Plant Toolbox,http://data.kew.org/sid/SidServlet?ID=2558&Num=f34,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://plants.ces.ncsu.edu/plants/aster-acuminatus/,CO0437,NA,pe
Aster,amellus,0.86,250.7312961,8.681317795,13.06343641,4.535619457,0.91324257,11592.25918,3.04923294,68.66273408,SI,herb,Kew_SID,Colin et al. (2015),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=2562&Num=iD3,https://www.researchgate.net/publication/280301680_httpacels-cdncomS18770509150162701-s20-S1877050915016270-mainpdf_tid9bb09b86-30d9-11e5-b5f7-00000aab0f01acdnat1437614868_4e27ae3f0c753a36544803dc5c24c930,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,CO0439,NA,
Aster,laevis,0.306,264.4801762,6.514421923,12.03895534,1.288268072,0.822603275,12887.75174,3.542407904,70.94444444,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=2577&Num=Lq3,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5406475,CO0455,NA,pe*
Aster,puniceus,0.132,240.4857143,3.209082837,8.317488712,-1.217652902,0.740780124,11505.20588,3.893741688,72.07352941,SI,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=2585&Num=XDF,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/8068266,CO0463,NA,
Aster,subulatus,0.07,381.4382022,17.03931945,22.60127904,11.87184608,1.476830648,15705.55833,3.107335066,109.2583333,SC,herb,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=2592&Num=1zV,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/5387630,CO0470,NA,pe*
