Genus,Species_Epithet,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,Growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,growthURL,tip,an.pe
Brassica,campestris,2,304.0037736,9.826940662,15.14985847,4.503969307,0.979733147,13450.4445,2.789549982,71.93867925,SI,herb,Kew_SID,HATAKEYAMA et al. (1998),GBIF,http://data.kew.org/sid/SidServlet?ID=3641&Num=4Rf,https://www.nature.com/articles/6882950.pdf,https://www.gbif.org/species/3042719,NA,NA
Brassica,carinata,3.1,470.978022,18.10989943,24.54518823,11.67440611,1.446347413,17795.97619,2.141961576,89.8525641,SC,herb,Kew_SID,Salisbury et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,cretica,4.4048,316.9767442,16.80045875,20.45649722,13.14550984,1.290093026,16195.85142,4.106817146,50.47416021,SI,herb,Kew_SID,Edh et al. (2019),GBIF,http://data.kew.org/sid/SidServlet?ID=34528&Num=Q61,http://www.genetics.org/content/genetics/early/2008/12/15/genetics.108.090829.full.pdf,https://www.gbif.org/species/3042837,NA,NA
Brassica,elongata,0.8362,252.9745763,8.712923859,12.99951103,4.426383308,0.885671507,11460.71363,3.64079584,56.2404661,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,fruticulosa,0.2848,462.7283237,15.22461483,20.37581677,10.07317152,1.187512537,16268.5012,3.819127499,49.31743738,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,incana,4.8264,298.952381,15.55394145,19.32820752,11.78064826,1.307780562,15300.39683,3.184161905,56.3452381,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,insularis,3.4566,298.3272727,15.32842544,19.56408471,11.09212883,1.2946487,15677.85606,3.868260153,52.3969697,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=3655&Num=3gR,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3042880,NA,NA
Brassica,juncea,2.72,353.6953552,11.85261725,16.68389032,7.021316638,1.130154573,13567.62278,3.404829606,78.36116803,SC,herb,Kew_SID,BATEMAN et al. (1956),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,macrocarpa,4.652,312,17.554136,20.67767967,14.43107833,1.573594333,16592.52778,4.1363751,40.44444444,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=3658&Num=suS,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3042797,NA,NA
Brassica,napus,3.3,246.8513717,9.064077177,13.0523625,5.075766,0.945079344,10960.50628,3.841381476,69.01817926,SI,herb,Kew_SID,Sawada et al. (2014),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,nigra,0.8,277.2143865,11.18405069,15.69376089,6.674287943,1.029763261,12519.54643,3.73191572,65.30752233,SC,herb,Kew_SID,Hiscock et al. (1993),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,oxyrrhina,1.3984,366.9541284,16.14570488,21.30519101,10.98655437,1.252979219,17102.01529,3.3118986,51.06116208,SC,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=3674&Num=A82,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3042919,NA,NA
Brassica,pekinensis,2.69,329.6,13.017547,17.6524728,8.382252476,1.250081119,13767.40556,2.565534273,93.66111111,SI,herb,Kew_SID,Stout (1931),GBIF,http://data.kew.org/sid/SidServlet?ID=3675&Num=zsu,https://onlinelibrary.wiley.com/doi/pdf/10.1002/j.1537-2197.1931.tb09622.x,https://www.gbif.org/species/3042737,NA,NA
Brassica,rapa,1.9744,268.0114735,8.37853226,12.68948045,4.067609339,0.904996758,11445.11818,3.565735854,71.12187893,SI,herb,Kew_SID,Schopfer et al. (1999),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Brassica,repanda,1.4608,294.0984456,11.31151676,16.66610867,5.956961206,0.9294725,15489.05419,3.288655123,55.80073402,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=46108&Num=vOF,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3042551,NA,NA
Brassica,rupestris,7.0104,308.625,15.90444365,19.81788319,11.99131823,1.354571153,16200.51563,3.654720544,43.47395833,SI,herb,Kew_SID,Grossenbacher et al. (2017),GBIF,http://data.kew.org/sid/SidServlet?ID=3682&Num=7Ll,https://nph.onlinelibrary.wiley.com/doi/epdf/10.1111/nph.14534,https://www.gbif.org/species/3042533,NA,NA
Brassica,tournefortii,1.5,626.1564537,18.25366989,24.74872703,11.75856175,1.051803837,18847.18101,3.673014422,29.70672172,SC,herb,Kew_SID,Salisbury et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
Cardamine,amara,0.3384,216.0412441,7.13827335,10.98735831,3.289221787,0.853545217,10138.06582,3.631007872,67.29454023,SI,herb,Kew_SID,Grossenbacher et al. (2017),Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=8023&Num=N90,http://natuurtijdschriften.nl/download?type=document&docid=539467,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569,NA,NA
