Genus,Species_Epither,Weight_list,cx,temp,tmax,tmin,varpr,srad,wind,rf,SCSI,growth,Weight_source,SCSI_source,Growth_source,WeightURL,SCSIURL,Growth_source
Cestrum,alternifolium,4.31,475.456,24.04148761,28.98581053,20.18055282,2.426151385,18881.12154,2.484290613,140.1008006,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=5388&Num=0LF,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Cestrum,aurantiacum,5.2848,528.7772727,18.46732816,23.99178255,14.10205946,1.715066219,18759.2984,2.717954651,132.3232601,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=53126&Num=On4,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Cestrum,diurnum,1.595,427.1868132,24.0508961,29.10105947,19.32774139,2.337047312,18083.89602,3.315432723,122.5612094,SC,tree,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=60759&Num=0jI,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/2928789
Cestrum,dumetorum,4.6,434.5,22.94588074,28.64113592,17.70163308,2.141595561,18314.89844,2.408527782,112.4898727,SI,tree,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=5389&Num=1o7,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/7300199
Cestrum,fasciculatum,1.9132,501.2649573,16.30202888,21.18117193,10.3950526,1.377078671,16328.84551,2.446375519,113.4128788,SI,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=60800&Num=822,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Cestrum,laevigatum,6.3984,677.795,21.04228066,26.84585441,15.97566512,1.923869017,16818.45733,2.628464255,107.4298878,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=44453&Num=g9E,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Cestrum,laurifolium,4.8420168,421.6428571,24.42796675,29.68401782,20.6023355,2.493789882,18980.09375,3.85408312,133.0342262,SC,tree,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=59635&Num=ll9,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Cestrum,nocturnum,3.236,476.9566327,22.31506937,27.06472153,17.2214351,2.098909494,17799.32003,2.577368281,150.8890238,SC,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=53127&Num=TNQ,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
Cestrum,reflexum,0.05,560.6690647,24.28645791,29.44505067,19.37680064,2.438066786,15553.41414,1.901165668,192.6641414,SC,tree,Kew_SID,Goldberg et al. (2010),GBIF,http://data.kew.org/sid/SidServlet?ID=5392&Num=5GT,https://science.sciencemag.org/content/330/6003/493,https://www.gbif.org/species/7299914
Cestrum,tomentosum,3.482,479.4393443,18.46226068,24.4119351,13.62072133,1.728688544,17412.84784,2.118707385,133.3085242,SI,shrub,Kew_SID,Goldberg et al. (2010),K. Engemann et al. (2016),http://data.kew.org/sid/SidServlet?ID=44454&Num=aay,https://science.sciencemag.org/content/330/6003/493,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1569
