"","(Intercept)","PC1","PC2","PC3","XS","df","logLik","AIC","delta","weight"
"11",-0.195740467635523,NA,0.109480685387315,NA,-0.312338548111493,5,-129.804457187204,269.608914374408,0,0.231050494080471
"9",-0.169002809472836,NA,NA,NA,-0.326447968043649,4,-131.327090625316,270.654181250632,1.0452668762232,0.137003001947832
"15",-0.172708804498946,NA,0.102228691738502,0.0813957354616764,-0.323683158932075,6,-129.37818916395,270.7563783279,1.14746395349169,0.130178202335643
"12",-0.195940490185683,-0.0332317877621761,0.109369048736939,NA,-0.319566350263516,6,-129.464642451187,270.929284902374,1.32037052796511,0.119396634255356
"13",-0.143064245810079,NA,NA,0.099291930609743,-0.339142957144444,5,-130.698258107745,271.39651621549,1.78760184108125,0.0945222593261132
"16",-0.17125143719096,-0.0362880187039112,0.101575348781069,0.0872896457649356,-0.332402563608991,7,-128.971830218808,271.943660437616,2.33474606320789,0.0718990638247163
"10",-0.169214932869041,-0.0330357378498395,NA,NA,-0.333601373740178,5,-130.999890672051,271.999781344103,2.39086696969417,0.069909586858054
"14",-0.141757878611139,-0.0367375980312275,NA,0.105160617226927,-0.347866825501341,6,-130.290898364353,272.581796728706,2.97288235429789,0.0522581102334582
"3",-0.352033501948604,NA,0.120484694721888,NA,NA,4,-132.860431195587,273.720862391174,4.1119480167655,0.0295671003152016
"1",-0.33036229243491,NA,NA,NA,NA,3,-134.588048789728,275.176097579456,5.56718320504746,0.0142826379922889
"7",-0.339442231628023,NA,0.115516188791283,0.0591398502473907,NA,5,-132.6483677268,275.296735453599,5.68782107919066,0.0134465926063196
"4",-0.354945164419822,-0.0253446938199905,0.120568434827273,NA,NA,5,-132.674788298037,275.349576596075,5.74066222166613,0.0130959780619361
"5",-0.31489279711932,NA,NA,0.0782165749299382,NA,4,-134.22253058698,276.445061173959,6.83614679955105,0.00757279996805989
"2",-0.333175401542987,-0.0247906047422964,NA,NA,NA,4,-134.415645885921,276.831291771843,7.22237739743417,0.00624291722418059
"8",-0.341737831732084,-0.0273041383516149,0.115270854768664,0.063077093830694,NA,6,-132.433040009244,276.866080018489,7.25716564408015,0.0061352661146153
"6",-0.317221798445878,-0.02737816437026,NA,0.0821403821417162,NA,5,-134.011809551067,278.023619102133,8.414704727725,0.00343935485575396
