"","(Intercept)","PC1","PC2","PC3","XS","df","logLik","AIC","delta","weight"
"11",0.0203541964450482,NA,0.360864703680935,NA,-0.905012356208543,5,-84.0147819807753,178.029563961551,0,0.395315268819768
"12",0.0247134513132381,0.0761800765578109,0.356997839646213,NA,-0.879103236868053,6,-83.596062618455,179.19212523691,1.16256127535954,0.221053103013021
"15",0.0216225981668048,NA,0.3641212117361,0.0286725322538087,-0.910193195748081,6,-83.9981064650464,179.996212930093,1.96664896854219,0.147873785787215
"16",0.02583313238029,0.0757232854407241,0.359683324778133,0.0233154806961245,-0.883514065690578,7,-83.5848620784363,181.169724156873,3.14016019532212,0.0822368499469814
"9",-0.0785116965426621,NA,NA,NA,-0.722250321059369,4,-87.050323522033,182.100647044066,4.07108308251546,0.0516320216282948
"10",-0.0729415736705123,0.0825886419732107,NA,NA,-0.696371889337362,5,-86.6092062929073,183.218412585815,5.18884862426404,0.0295256472318533
"13",-0.0790882783960827,NA,NA,-0.0215139624990807,-0.719657629887295,5,-87.0416974297789,184.083394859558,6.05383089800736,0.0191589150749114
"14",-0.0736674263281175,0.0831374688345308,NA,-0.0271005836101205,-0.692938899797863,6,-86.595304775798,185.190609551596,7.16104559004555,0.0110139296163307
"3",-0.388946288695205,NA,0.249388977386555,NA,NA,4,-88.6375960766818,185.275192153364,7.2456281918131,0.0105578483159137
"1",-0.403817091524352,NA,NA,NA,NA,3,-89.9785040515336,185.957008103067,7.92744414151659,0.00750794298429864
"4",-0.36623460109144,0.101700816122472,0.250002460447022,NA,NA,5,-87.9868271749537,185.973654349907,7.94409038835695,0.00744571278228072
"2",-0.381420291253488,0.102083164944529,NA,NA,NA,4,-89.3580313507345,186.716062701469,8.68649873991839,0.00513682007467196
"7",-0.388457859097284,NA,0.24761148456292,-0.0203335841429487,NA,5,-88.6304103738478,187.260820747696,9.23125678614508,0.00391202523332385
"5",-0.402667091786809,NA,NA,-0.0486046428957065,NA,4,-89.9387213508508,187.877442701702,9.847878740151,0.0028741133462657
"8",-0.365680878423636,0.102017019006093,0.247779060581266,-0.02502771828696,NA,6,-87.9757071661783,187.951414332357,9.92185037080597,0.00276975372985543
"6",-0.380101085801035,0.102896810321979,NA,-0.0538430750607793,NA,5,-89.3082108869074,188.616421773815,10.5868578122643,0.00198626241501407
