"","(Intercept)","PC1","PC2","PC3","XS","df","logLik","AIC","delta","weight"
"12",0.195943371379721,0.191101574538108,-0.117227038555693,NA,-0.147569878410663,6,-220.708020086451,453.416040172901,0,0.364820910422621
"4",0.109056384616285,0.189585621051189,-0.119995182493694,NA,NA,5,-221.831043099875,453.662086199751,0.246046026849058,0.32259045043267
"16",0.197210307838399,0.191358800852041,-0.117849350857452,-0.0110833260908993,-0.150057163741262,7,-220.692581609408,455.385163218817,1.96912304591513,0.136298189284905
"8",0.109101539293636,0.189532602995309,-0.119842006510187,0.00253887475662712,NA,6,-221.830226923293,455.660453846585,2.24441367368388,0.118771293432153
"10",0.184693614145998,0.176315015831627,NA,NA,-0.159134303732144,5,-224.447139718709,458.894279437418,5.47823926451645,0.0235773603532566
"2",0.0905367745103451,0.174304376037065,NA,NA,NA,4,-225.702571125999,459.405142251998,5.98910207909688,0.0182626051954007
"14",0.184320182248651,0.176259985563668,NA,0.00342849622822828,-0.158346034674462,6,-224.445710990378,460.891421980755,7.47538180785386,0.00868602726327149
"6",0.0910259458112038,0.174067225940971,NA,0.0180686049979136,NA,5,-225.662606624392,461.325213248783,7.90917307588165,0.00699237338627116
"3",0.0912454417484395,NA,-0.0800863722022969,NA,NA,4,-237.122273297847,482.244546595694,28.8285064227923,2.00469862426831e-07
"11",0.167355616395502,NA,-0.0773702389324167,NA,-0.129419464913382,5,-236.398868462661,482.797736925323,29.381696752421,1.5202861482387e-07
"1",0.0796265129090788,NA,NA,NA,NA,3,-238.632310946738,483.264621893477,29.8485817205754,1.20376733936501e-07
"9",0.161313075756582,NA,NA,NA,-0.13819060553913,4,-237.817680980634,483.635361961268,30.2193217883664,1.00008605829069e-07
"7",0.0915708061643233,NA,-0.0791511914018951,0.016772223989423,NA,5,-237.092315968933,484.184631937866,30.7685917649647,7.59914817886798e-08
"15",0.166769499027899,NA,-0.07710090147426,0.00526894160423496,-0.12824870286528,6,-236.395946189197,484.791892378394,31.3758522054927,5.6091878401001e-08
"5",0.0803554477944648,NA,NA,0.0265050950169218,NA,4,-238.558101292712,485.116202585423,31.7001624125216,4.76954463271855e-08
"13",0.159797536196277,NA,NA,0.0141368889505051,-0.134968039711182,5,-237.796815792102,485.593631584205,32.1775914113031,3.75668280808371e-08
