"","(Intercept)","PC1","PC2","PC3","XS","df","logLik","AIC","delta","weight"
"11",-0.189062018070696,NA,0.11198189736537,NA,-0.32334502568556,5,-128.853422712715,267.70684542543,0,0.242617461702843
"9",-0.162270306582017,NA,NA,NA,-0.337047360048215,4,-130.429482007239,268.858964014479,1.15211858904877,0.136377486491139
"12",-0.189141441966829,-0.0369860880908399,0.112020446500429,NA,-0.332299623685096,6,-128.43755898162,268.87511796324,1.1682725378102,0.135280405538249
"15",-0.169297506707823,NA,0.105371058122101,0.0722988933668176,-0.332224513787087,6,-128.525243100072,269.050486200144,1.34364077471423,0.123923641789023
"13",-0.139256881902731,NA,NA,0.0914957510034988,-0.347257981921155,5,-129.908575772581,269.817151545162,2.11030611973155,0.0844646337622345
"10",-0.162323606964471,-0.0365575497449806,NA,NA,-0.34588258276938,5,-130.03414415398,270.068288307959,2.36144288252905,0.0744974226880509
"16",-0.167837707637407,-0.0393628730085477,0.104891542556285,0.0779183329505256,-0.342449511494824,7,-128.053143122852,270.106286245704,2.3994408202737,0.0730954090524549
"14",-0.137901658326861,-0.0395562820250609,NA,0.0970762173330937,-0.357458489413667,6,-129.442988627393,270.885977254785,3.1791318293549,0.0494973957254191
"3",-0.351121243743528,NA,0.12288402040849,NA,NA,4,-132.092030542087,272.184061084173,4.47721565874315,0.0258646750971182
"1",-0.329255441715785,NA,NA,NA,NA,3,-133.861405725654,273.722811451308,6.01596602587824,0.0119831675189677
"4",-0.354563228768959,-0.0278724880418458,0.123110263331071,NA,NA,5,-131.871020268555,273.742040537109,6.03519511167895,0.0118685069286189
"7",-0.34015470960276,NA,0.118367176188715,0.0518545429854826,NA,5,-131.933893109442,273.867786218883,6.16094079345334,0.0111452742561448
"5",-0.315064053891928,NA,NA,0.0724212549553677,NA,4,-133.557409589934,275.114819179867,7.40797375443736,0.00597449212402502
"2",-0.332532631195262,-0.0270410304207288,NA,NA,NA,4,-133.659700425013,275.319400850026,7.61255542459543,0.00539357407553506
"8",-0.342999518501356,-0.0293504350194607,0.118280851301722,0.0555264397574492,NA,6,-131.688933901117,275.377867802233,7.67102237680297,0.0052381835258339
"6",-0.317875900675627,-0.0291152835793494,NA,0.0760685616703543,NA,5,-133.32308035136,276.64616070272,8.93931527728995,0.00277826972434415
