"","(Intercept)","PC1","PC2","PC3","XS","df","logLik","AIC","delta","weight"
"11",0.0436080368322333,NA,0.326783267181953,NA,-0.91153806290648,5,-83.2059774455802,176.41195489116,0,0.334440806010392
"12",0.0517465624645406,0.0887166170779292,0.321109092151656,NA,-0.888917309653621,6,-82.6461408304971,177.292281660994,0.880326769833829,0.215356870828054
"15",0.046541202524761,NA,0.331738098001316,-0.046994049336018,-0.920793607872152,6,-83.1635232557564,178.327046511513,1.91509162035243,0.128369662648677
"9",-0.0353960816197262,NA,NA,NA,-0.776511131958286,4,-85.5737125763232,179.147425152646,2.73547026148586,0.0851764315498624
"16",0.0544305733286274,0.0879302609115835,0.3255093182304,-0.0406583888177441,-0.897207556105467,7,-82.6136798017495,179.227359603499,2.81540471233848,0.0818392981019407
"10",-0.0252125391605499,0.0957761957108709,NA,NA,-0.755189486924308,5,-84.9769965690722,179.953993138144,3.54203824698385,0.0569082759491536
"13",-0.0352044728337384,NA,NA,-0.00403593571233854,-0.777118462395779,5,-85.5734192796965,181.146838559393,4.7348836682325,0.0313438497369232
"14",-0.0253340976340714,0.095828837671355,NA,0.0025988284698288,-0.754787360230393,6,-84.9768722740429,181.953744548086,5.54178965692537,0.0209379870801897
"3",-0.37917402764065,NA,0.233669636031593,NA,NA,4,-87.7260534351423,183.452106870285,7.04015197912415,0.00989850674322979
"1",-0.393555826486006,NA,NA,NA,NA,3,-88.8138896245151,183.62777924903,7.21582435786971,0.00906615022355292
"4",-0.35481150094035,0.107816260222548,0.231785662990824,NA,NA,5,-87.0072839094209,184.014567818842,7.60261292768141,0.00747193078375932
"2",-0.369165959848573,0.110129923949709,NA,NA,NA,4,-88.0976904478663,184.195380895733,7.78342600457216,0.00682605493954307
"7",-0.379055633842678,NA,0.233036160123787,0.00755770097908268,NA,5,-87.7251105826896,185.450221165379,9.03826627421881,0.00364489210499986
"5",-0.393036457417788,NA,NA,0.0322365559612728,NA,4,-88.7971843620466,185.594368724093,9.18241383293278,0.00339143448851421
"8",-0.354641785931145,0.107982719014739,0.230679493809107,0.0127878831074783,NA,6,-87.0045215413899,186.00904308278,9.59708819161932,0.0027563733319542
"6",-0.368539295750762,0.110700572434182,NA,0.0379809090389831,NA,5,-88.0739574962825,186.147914992565,9.7359601014046,0.00257147547925387
