"","(Intercept)","PC1","PC2","PC3","XS","df","logLik","AIC","delta","weight"
"10",0.244573450501991,-0.177561209844471,NA,NA,-0.262274070901858,5,-94.2311875597155,198.462375119431,0,0.405662899256446
"12",0.256174305093622,-0.183876992206608,0.0347146449181455,NA,-0.26761486756044,6,-93.9633863797656,199.926772759531,1.46439764010023,0.195063217291951
"14",0.244327659701293,-0.178409818490621,NA,-0.0521476661563931,-0.255530031134245,6,-94.0091199343366,200.018239868673,1.55586474924212,0.186343201474048
"16",0.255184772226291,-0.18423985104449,0.0324165999497896,-0.0479207790232233,-0.261064541364389,7,-93.7758757813908,201.551751562782,3.08937644335066,0.0865596953562959
"2",0.0827909251796143,-0.167087660852691,NA,NA,NA,4,-97.178244247197,202.356488494394,3.89411337496298,0.0578854368120938
"6",0.0879686075970124,-0.168583062721565,NA,-0.0698574349383819,NA,5,-96.8021978509339,203.604395701868,5.14202058243674,0.0310162799432744
"4",0.0890601188240878,-0.171719205631479,0.0264465733898157,NA,NA,5,-97.032586209715,204.06517241943,5.60279729999903,0.0246339079871862
"8",0.0933413798470058,-0.172643252174107,0.0235149750538421,-0.0670694777424437,NA,6,-96.6866233555083,205.373246711017,6.91087159158565,0.0128082144823708
"9",0.104567934930111,NA,NA,NA,-0.192746400941918,4,-106.115668082728,220.231336165456,21.7689610460248,7.6049341985888e-06
"1",-0.00946916490350949,NA,NA,NA,NA,3,-107.370077008143,220.740154016286,22.2777788968552,5.89667332027443e-06
"11",0.0998426211203318,NA,-0.0263236262365204,NA,-0.19062444069466,5,-105.990994308975,221.981988617951,23.5196134985199,3.16917419308525e-06
"13",0.103810879917594,NA,NA,-0.0360614536459177,-0.187835899356995,5,-106.034883442428,222.069766884856,23.6073917654251,3.03309003557474e-06
"5",-0.00652835240300383,NA,NA,-0.0499780150114709,NA,4,-107.217802346215,222.43560469243,23.9732295729986,2.52606564116183e-06
"3",-0.0133039696040128,NA,-0.0292448680358219,NA,NA,4,-107.220475351748,222.440950703496,23.9785755840653,2.51932247000734e-06
"15",0.0986350893529761,NA,-0.0283569095541874,-0.0402192436599128,-0.184984382885668,6,-105.890933139951,223.781866279903,25.3194911604719,1.28856889143219e-06
"7",-0.0104454948244877,NA,-0.0318774557325594,-0.054412056223483,NA,5,-107.040494980677,224.080989961354,25.6186148419227,1.10956758386271e-06
